cargo_class,distance_km,weather_severity,traffic_density,driver_fatigue_proxy,incidents_on_route,warehouse_load_factor,historical_delay_rate_for_route,time_of_day,day_of_week,delayed,delay_minutes
perishable,778.5995960100621,0.3745401188473625,0.7299983109899704,8.934023957210435,0,0.7548934157491003,0.24914080073836065,16,4,0,0.0
perishable,699.1785876512364,0.9507143064099162,0.18451199559871156,6.430094349478704,0,0.8532219383071429,0.15165280001423823,19,6,0,0.0
standard,393.5001293805771,0.7319939418114051,0.3466396943698862,13.502979348095172,0,0.3618924492305583,0.21347811363168545,3,1,1,15.0
perishable,1234.1700066979015,0.5986584841970366,0.6632806368578182,3.0656983137793343,0,0.31006211509534637,0.16637955896366274,1,5,0,0.0
perishable,979.4171129918263,0.15601864044243652,0.48208934452447993,8.22998982398517,0,0.8140877216361215,0.30822315774148784,18,4,0,0.0
standard,1738.116935031807,0.15599452033620265,0.7385710386348938,9.802940209863117,0,0.4831928491596666,0.09287600325456996,17,6,0,0.0
standard,112.61368194001359,0.05808361216819946,0.9612079012228597,11.557902850835342,0,0.914374775260439,0.3125878954834568,21,1,0,0.0
standard,1305.5424587324965,0.8661761457749352,0.1165466877151975,5.697594425992099,0,0.6750954743621217,0.1064084588595479,17,3,0,0.0
standard,1537.7503130975442,0.6011150117432088,0.7095677163980609,9.616906707204741,0,0.6349646635688118,0.15709369699311626,12,6,0,0.0
pharmaceutical,1530.9988099171987,0.7080725777960455,0.23034415563211452,4.244820599379959,0,0.8409731407253085,0.16666612557997848,6,3,0,0.0
perishable,1777.844235836274,0.020584494295802447,0.41447672740756925,6.096665293065484,1,0.8187672024862864,0.3966442614111399,21,4,0,0.0
standard,1471.6157985175134,0.9699098521619943,0.032862725795139824,12.538779836847588,2,0.7929935726729842,0.25643769465778116,17,1,1,155.99839859098034
perishable,1859.2296202130078,0.8324426408004217,0.13590738229269894,13.29870653063336,0,0.7829306692003777,0.3221439673127898,18,1,0,0.0
standard,698.6803696507384,0.21233911067827616,0.3197772890488997,10.063442856981705,0,0.660777198024729,0.24438229434031777,23,3,0,0.0
